clave_banxico,nombre,unidad,fecha,valor
SP68257,Valor de la UDI,MXN por UDI,2026-07-20,8.797274
SP68257,Valor de la UDI,MXN por UDI,2026-07-21,8.796118
SP68257,Valor de la UDI,MXN por UDI,2026-07-22,8.794963
SP68257,Valor de la UDI,MXN por UDI,2026-07-23,8.793807
SP68257,Valor de la UDI,MXN por UDI,2026-07-24,8.792652
SP68257,Valor de la UDI,MXN por UDI,2026-07-25,8.791497
SP68257,Valor de la UDI,MXN por UDI,2026-07-26,8.791887
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2025-05-01,140.012000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2025-06-01,140.405000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2025-07-01,140.780000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2025-08-01,140.867000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2025-09-01,141.197000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2025-10-01,141.708000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2025-11-01,142.645000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2025-12-01,143.042000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2026-01-01,143.588000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2026-02-01,144.307000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2026-03-01,145.544000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2026-04-01,145.831000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2026-05-01,145.527000
SP1,Indice Nacional de Precios al Consumidor,Indice base 2018=100,2026-06-01,145.131000
